AFAP1L1	TRIP6
FSCN1	VHL
KRT77	NUAK1
DGKE	SET
FAM107A	PPP2R2A
ARRB2	MRPL44
DGKE	PAICS
DOCK4	HNRNPL
ACTR3B	TWF2
PSTPIP1	RPL36
AP2S1	RAB25
RASGRP1	VHL
CCNH	RADIL
ILK	MYO1D
KHK	RNPS1
MOV10	PUF60
CD2BP2	KHK
MSH2	PTP4A3
BRIX1	CNBP
PSTPIP1	RPL35
RASGRP3	YWHAQ
CDK2	RADIL
CALML5	MAGED1
PSTPIP1	RPL29
CDK5RAP3	KHK
CNKSR2	MOB3B
LRRK1	LYZ
PELO	TIMM50
SERPINB4	USF2
ARRB2	MRPL43
CASP4	SLC25A22
CEP135	WRAP73
ARRB2	FBL
NEK6	NUP93
NUP93	TSC22D1
PFAS	TNFRSF10D
SF3B3	TNFRSF10D
CASP4	SMC1A
NUAK1	S100A9
CIAO1	MCM5
FANCI	PELO
RAI14	YWHAZ
RALGPS2	YWHAZ
ARRB2	PES1
KRT78	SIRT2
NUP93	PHB2
EBLN2	WRAP73
EIF6	RRP15
ELL	SIRT2
PSTPIP1	RPL34
CEP162	LXN
CASP4	CDK2
FBL	PASK
PSTPIP1	RPL37A
OSBPL3	YWHAB
ARRB2	RPL7L1
CYP4F8	DBNL
DGKE	PDHA1
LXN	THRAP3
MAGED1	TIMM50
NUP98	PARP11
DENND4A	YWHAQ
PAK6	YWHAQ
CASP4	PSMB1
BCAR3	PABPC1
CDK4	GEMIN4
ILK	S100A9
PHB2	RUNX3
ATP2A3	WRAP73
CDK15	CDK2
EIF6	HAS1
FANCI	GSTK1
PASK	PSMB1
MYO1D	PELO
KNTC1	VHL
ARRB2	RAB5C
TNFRSF10D	TRIM28
PASK	WDR5
CFLAR	DOK2
FANCI	NEK6
PHB2	TIMM50
FANCI	MAGED1
DSG1	ZNRD2
GSTK1	MATR3
MRM3	NTHL1
CGN	YWHAB
CASP4	MSH6
PRPSAP1	PSPH
BCAR3	IMPDH2
CASP4	EIF2S3
PRMT1	ZNRD2
BCAR3	IARS1
CASP4	CTNNBIP1
KRT82	LYAR
EPPK1	PHB2
HAS1	VHL
PSPH	STYXL1
LXN	PPM1A
HNF1A	SNRPA1
ASF1B	PSPH
FIBP	GEMIN4
MALT1	UBE2G2
CASP4	GCN1
KHK	RANBP3
MCM3	SNCG
CORO1A	UBE2G2
EPPK1	RASGRF2
DENND4A	YWHAG
CIRBP	LXN
EPB41	PFAS
FUBP1	SNCG
OBI1	TTC4
CASP4	USP9X
CLASP2	LXN
HNF1A	RHPN2
BRIX1	CDC42BPB
FES	PSMD13
GTF2I	PTP4A3
CGN	YWHAG
LCP2	PIK3R1
ITK	LCP2
LCP2	NCK1
HDAC5	PRKD1
MAP3K8	NFKB2
MAP3K8	RELA
MAP3K8	REL
IQGAP2	RELA
TBK1	TBKBP1
TNF	TNFRSF1B
AP2S1	POLQ
BRF2	GEMIN4
BRF2	FANCI
BRF2	NUP93
CASP4	UFL1
CASP4	VDAC3
DLG3	KRT31
DLG3	S100A3
