#node1	node2
57463	10022
57463	347730
57463	51046
57463	90231
57463	65258
57463	283471
57463	154197
113277	9570
113277	3488
113277	85013
113277	11161
113277	79022
113277	2706
113277	956
113277	84314
113277	255043
113277	7106
113277	375
113277	58480
115653	10562
115653	727
115653	7379
115653	41
115653	27230
115653	84102
115653	2014
115653	963
115653	80332
115653	7805
115653	10559
115653	116173
115653	10791
115653	84522
115653	4815
115653	57085
115653	64184
115653	55340
115653	90196
115653	613212
115653	85027
115653	864
6319	203547
6319	493869
6319	79603
6319	51300
6319	219402
6319	162427
6319	84641
6319	51075
6319	363
6319	55800
6319	345275
6319	2040
6319	2705
6319	1534
6319	57709
6319	5817
6319	50489
6319	51614
6319	2866
6319	51308
6319	4259
6319	345274
6319	148534
6319	3763
6319	90701
6319	84522
6319	390212
6319	79415
6319	90411
6319	161291
6319	7113
6319	54708
6319	6048
6319	387837
6319	4609
6319	2182
6319	6785
6319	126129
6319	1528
6319	11001
6319	1374
6319	2194
6319	11343
6319	2181
6319	51703
6319	2180
6319	9415
6319	3992
6319	1375
6319	5465
6319	3611
6319	5597
6319	351
6319	1871
6319	23327
6319	9217
6319	1956
6319	10013
6319	7385
6319	6748
6319	7415
6319	6047
6319	5518
6319	1994
6319	2100
6319	26123
6319	9045
6319	6188
6319	79867
6319	5250
6319	51144
6319	55695
6319	150737
6319	26136
6319	80816
6319	8844
79956	363
79956	2703
79956	136263
79956	9080
79956	408263
79956	57709
79956	29121
79956	9962
79956	23439
79956	11112
79956	5193
79956	55507
79956	2866
79956	51124
79956	3821
79956	63027
79956	51458
79956	3782
79956	3140
79956	65062
79956	3460
79956	284348
79956	131450
79956	26266
79956	359
79956	26580
79956	283232
79956	55076
79956	1366
79956	7122
79956	80380
79956	405754
79956	51124
79956	7341
79956	6776
79956	2823
79956	7533
79956	240
79956	491
79956	7434
79956	7706
79956	1994
79956	6339
79956	2100
79956	1012
79956	10537
79956	8797
79956	3359
79956	11045
79956	9777
79956	23632
79956	401152
79956	2564
79956	55283
79956	353174
79956	9293
79956	170572
79956	65258
79956	283375
79956	2844
9570	493869
9570	56947
9570	162427
9570	84641
9570	60481
9570	363
9570	345275
9570	6554
9570	84975
9570	1534
9570	10282
9570	79901
9570	6810
9570	374882
9570	11112
9570	6804
9570	127544
9570	6785
9570	2866
9570	59353
9570	51124
9570	79022
9570	116211
9570	345274
9570	10682
9570	89885
9570	148534
9570	147872
9570	6811
9570	220972
9570	145942
9570	79608
9570	10904
9570	93380
9570	84522
9570	345757
9570	390212
9570	57162
9570	54923
9570	342900
9570	51124
9570	100534611
9570	375
9570	373
9570	390535
9570	4905
9570	54440
9570	9527
9570	10228
9570	8775
9570	8615
9570	9554
9570	2326
9570	440321
9570	9218
9570	5245
9570	351
9570	23673
9570	10345
9570	4952
9570	8417
9570	6047
9570	7706
9570	160364
9570	100132565
9570	100132979
9570	200728
9570	26123
9570	79867
9570	27122
9570	4000
9570	55454
9570	8674
9570	51280
222642	973
222642	56947
222642	56475
222642	79603
222642	162427
222642	363
222642	6554
222642	2040
222642	2012
222642	638
222642	51614
222642	2686
222642	10682
222642	390212
222642	1946
222642	5349
222642	51177
222642	339302
222642	408263
222642	345274
222642	55281
222642	3488
222642	963
222642	2207
222642	3821
222642	283232
222642	2866
222642	10961
222642	51257
222642	27121
222642	64115
222642	55379
222642	969
222642	54946
222642	113452
222642	2867
222642	6541
222642	127833
222642	6567
222642	54842
222642	136991
222642	931
222642	3763
222642	10568
222642	433
222642	10158
222642	285613
222642	8000
222642	4118
222642	113146
222642	1287
222642	1269
222642	1364
222642	2709
3488	493869
3488	56947
3488	2702
3488	79603
3488	51280
3488	8645
3488	51075
3488	60481
3488	363
3488	345275
3488	340596
3488	84975
3488	2703
3488	51614
3488	390212
3488	374395
3488	9080
3488	408263
3488	345274
3488	29781
3488	63874
3488	128674
3488	366
3488	55353
3488	23554
3488	55507
3488	81539
3488	54946
3488	90231
3488	51107
3488	2866
3488	79022
3488	84102
3488	51458
3488	432
3488	963
3488	932
3488	148534
3488	140578
3488	65062
3488	115352
3488	10158
3488	7809
3488	3577
3488	26266
3488	203286
3488	9075
3488	120939
3488	58475
3488	359
3488	9283
3488	49861
3488	134391
3488	51078
3488	163183
3488	55076
3488	1366
3488	7113
3488	9074
3488	113146
3488	388512
3488	2707
3488	2709
3488	388633
3488	143903
3488	28973
3488	7917
3488	11186
3488	2274
3488	7448
3488	7057
3488	10488
3488	3483
3488	2335
3488	2147
3488	3837
3488	6696
3488	7018
3488	8038
3488	60676
3488	5054
3488	3479
3488	56902
3488	3481
3488	2318
3488	10130
3488	476
3488	2273
3488	4052
3488	4000
3488	56975
26984	1896
26984	56947
26984	113878
26984	162427
26984	363
26984	55800
26984	56616
26984	203328
26984	7780
26984	115265
26984	10462
26984	1534
26984	51006
26984	638
26984	4988
26984	57146
26984	81551
26984	972
26984	4481
26984	55248
26984	29121
26984	79901
26984	3385
26984	56681
26984	4258
26984	57192
26984	6810
26984	6804
26984	7036
26984	7306
26984	10613
26984	5193
26984	51338
26984	2054
26984	50489
26984	127544
26984	6785
26984	10804
26984	3759
26984	8740
26984	10870
26984	8170
26984	161003
26984	79022
26984	84868
26984	2572
26984	10161
26984	493856
26984	89885
26984	9536
26984	932
26984	9781
26984	120224
26984	148534
26984	118813
26984	65983
26984	65062
26984	433
26984	50852
26984	134288
26984	94241
26984	137835
26984	120939
26984	29986
26984	84689
26984	5245
26984	146378
26984	11314
26984	54949
26984	6440
26984	23251
26984	9283
26984	2525
26984	115727
26984	64581
26984	924
26984	345757
26984	126364
26984	256815
26984	132228
26984	259236
26984	10159
26984	222487
26984	83698
26984	7113
26984	54732
26984	283897
26984	353116
26984	2709
26984	222662
26984	51170
26984	388633
26984	286827
26984	440400
26984	405754
26984	85027
26984	387837
26984	163183
26984	6811
26984	8615
26984	6048
26984	5111
26984	3191
26984	6047
26984	10653
26984	1832
26984	4000
85025	81853
85025	1896
85025	203547
85025	493869
85025	56947
85025	162427
85025	8645
85025	6521
85025	972
85025	6570
85025	54831
85025	6857
85025	8712
85025	363
85025	9962
85025	23428
85025	1727
85025	638
85025	6554
85025	7782
85025	11112
85025	6804
85025	55379
85025	23531
85025	81539
85025	90231
85025	252839
85025	92344
85025	2703
85025	10804
85025	64224
85025	51614
85025	2866
85025	2867
85025	23780
85025	51308
85025	51458
85025	963
85025	4259
85025	345274
85025	6567
85025	10682
85025	2040
85025	120224
85025	148534
85025	65062
85025	7780
85025	3460
85025	433
85025	7809
85025	10424
85025	221476
85025	26266
85025	136263
85025	203286
85025	120939
85025	29986
85025	145942
85025	55800
85025	339302
85025	359
85025	57348
85025	11314
85025	80346
85025	93380
85025	345275
85025	408263
85025	390212
85025	55508
85025	51078
85025	135932
85025	116135
85025	255043
85025	1366
85025	201305
85025	7113
85025	54732
85025	2124
85025	94107
85025	643853
85025	1269
85025	2709
85025	222662
85025	342900
85025	440400
85025	4000
11270	493869
11270	56947
11270	162427
11270	51075
11270	363
11270	345275
11270	57414
11270	286
11270	6570
11270	56681
11270	51006
11270	10961
11270	1727
11270	638
11270	5956
11270	6804
11270	5193
11270	533
11270	92344
11270	6555
11270	51614
11270	2866
11270	2867
11270	55177
11270	4259
11270	345274
11270	7780
11270	2207
11270	79885
11270	7401
11270	136263
11270	120939
11270	339302
11270	246243
11270	257019
11270	165631
11270	134391
11270	155465
11270	127845
11270	79415
11270	1269
11270	286827
