Gene Name Interactor A	Gene Name Interactor B
HSP90B1	CAP1
NDUFA12	MRPL15
PAK1	RPL23A
CBS	PARP6
AICDA	ACTG1
RIOK2	YBX1
ITGA4	HEATR1
RABEP2	NOLC1
GJA1	PRDX2
NDUFB8	SAMM50
ILK	SCD
GDI1	RAB11B
SF3B3	TJAP1
KCNIP3	CALM1
RBM14	S100A9
PPP1CC	FTL
DSTN	STMN2
PAK1	RPS4X
RBM25	TCEA1
PEX5	HMGCL
HIF1A	SRC
HSP90AA1	MINK1
PRDX5	SEC24A
PAK1	RPL31
PAF1	DNMT3B
PAK1	RPL37A
GTF2A1	ME1
PAXIP1	SNRPD3
SEPT8	RNF8
C1QBP	PSAP
PAXIP1	SNRNP70
CNOT7	APP
RPS6KA1	HSPA8
RPL37A	APP
EEF2K	CCT5
RPS6KA1	HSPA9
RPS6KA1	DNAJA1
MRPL3	MRPL4
YWHAE	ADH1B
YWHAE	ADH4
LIG4	PEX10
HSP90AA1	MATK
RPS6KA1	HSPA4
HSP90AA1	MAX
RPS6KA1	HSPA5
RPS6KA1	HSPA1A
RPS6KA1	HSPA1L
VPS37B	XPO1
LACTB2	SSU72
PAXIP1	SPAG4
PRKAA1	VIM
CEP192	ALMS1
RPS6KA1	HSPD1
PRPSAP2	IQGAP1
BANF1	FBL
PLCG1	EHD4
PEPD	RPS6KA1
UBE2R2	YWHAE
SMARCD2	TOP2B
UBE2R2	YWHAG
UBE2R2	YWHAH
PPME1	GPN1
ADRB2	NUP93
RPL14	RPL36
ITGA4	EIF3K
PIR	PSMB2
DDX20	APP
RPS6KA1	HP
DES	HSP90AA5P
PRDX5	PRDX6
NR1D1	APP
ITGA4	RBMX
UBR7	PYGB
CLNS1A	PPA1
BABAM1	PCNA
HSP90AA1	LYN
HEXA	NUBP2
ERBIN	ATP2B1
ERBIN	ATP2B2
ERBIN	ATP2B4
ILF3	SF3B5
TWF1	APP
CTSC	ARMC9
ADRB2	NUP155
SRRM2	STAG2
ILF2	RPLP0P6
SF1	UBE2L3
HSP90AA1	MARCKS
RTCB	MRE11
HSP90AA1	MAFG
VCL	STK24
NKX3-1	RPSA
CA9	XPO5
ATRAID	APP
SDHB	GSN
HSP90AA1	NHLRC1
LATS1	ALPP
ECT2	CAPZA1
LYN	ERO1A
RALGPS1	APP
C12orf10	DDX39A
ECT2	CAPN1
ECT2	CAPN2
C6orf118	APP
ALAD	RPRD1B
RBM14	RPS5
ILK	LAS1L
MTA2	CD2AP
HNRNPM	MRE11
CBS	IREB2
SOD2	TBL2
HNRNPA2B1	SNRPB2
SSX2	EED
HNRNPK	RANBP2
SNU13	RPSA
BARD1	AP1B1
PHF20L1	APP
EGFR	DARS
PLEC	GBF1
HNRNPA2B1	SNRPD1
HMGB3	ACAT2
PAN2	SPECC1L
MRPL32	SCFD1
NCOA3	FBXW7
ILF3	PC
RETSAT	APP
MMS19	CCNK
LIG4	PFN1
ACACA	ERCC6L
PQBP1	MRPL53
ITGA4	LYPLA2
PPT1	RIF1
ITGA4	DDX42
PEPD	CASP7
PAXIP1	SRPK1
PHKG2	PGAM5
TMEM53	APP
POLR2C	PPP4R1
ITGA4	ATAD3A
PAXIP1	SRP9P1
ITGA4	PHB2
ITGA4	NAT10
SNTA1	NAT1
NELFB	HNRNPU
ILF3	SNORD50B
ILF3	SNORD19
C12orf57	COL1A1
SSU72	XPO1
HSP90AA4P	PRKAR1A
ITGA4	DIMT1
SRRM2	UTP14A
TAF8	KPNA2
CDV3	VDAC3
TAF8	KPNB1
SEPT9	TMED9
GON7	TPRKB
PEX5	HSD17B4
MMS19	EIF2S2
PRKACB	MAP7D1
PEPD	CAPN1
CHD3	RBBP7
CASP7	PARP1
CROCC	HDGF
FUBP1	CNN2
RIOK2	NPM1
FLNB	SEPT9
NFE2L1	BACH2
UBXN1	VPS4B
PAXIP1	SSB
FGFBP2	APP
MDC1	PRKRA
NIT2	RNASET2
COMMD8	COMMD10
PSEN2	AAMP
CLNS1A	PPP2CA
SYNE3	APP
PAK1	IRS4
DFFA	GAPDH
KARS	IPO7
OXCT1	MTPN
CENPU	CENPN
KLF7	APP
URI1	APP
PAXIP1	STAU1
ITGA4	MYL12A
STK4	CSK
PARK7	TDP2
STUB1	AXL
HSP90AA1	DTX4
UQCRB	ACAT1
HNRNPU	TPR
CDC42	EPRS
HSP90AA1	FBXO28
BAG3	PCDHGB2
RBM42	SF3B2
RBMX	RPL31
FN1	PRDX1
HNRNPU	TPBG
ITGA4	SND1
STAC	APP
HSP90AA1	CDK18
MAPK8	ELK4
ACTA2	MRPL47
MSH2	SEPT9
SOX2	JUND
SUMO2	LTF
IGSF8	TUBA1A
HSP90AA1	ZC3H7B
SBDS	TIMM44
SBDS	TOMM40
EIF4A3	KRT75
NDUFS2	MRPS21
ITGA4	IGF2BP2
EGFR	HEATR3
NCDN	PDHA1
ITGA4	IGF2BP1
DIMT1	IGF2BP3
HIF1A	RB1
LIG4	PA2G4
USP14	ECHS1
ITGA4	CCT8
SF3B3	VTN
HSP90AA1	STK32C
UBQLN1	MTHFD1
PSMA6	CCT4
VPS26A	CORO1B
CAD	TUBB4B
STK25	PSMC1
STK25	PSMC5
STK25	PSMC6
STK25	PSMD1
STK25	PSMD2
STK25	PSMC2
STK25	PSMC3
STK25	PSMC4
PHKG2	MMS19
PAK1	RPS25
THUMPD3	TRMT112
PSMA6	RPP30
PSMA6	RPP38
ILF3	SNORD3C
DDX5	PRSS1
BRCA1	DCN
BRCA1	DNHD1
DCK	TALDO1
DDX5	PRPSAP1
RELA	HIF1A
CPSF6	MAX
PHGDH	TRA2A
SAMHD1	RANBP3
IGBP1	PSRC1
ASNS	YWHAE
STK25	PRSS3
CCNB1	PRC1
SUMO2	NUFIP2
BRCA1	RNF216
LDHB	G6PD
PRPF8	RPL6
PLRG1	RBM14
VCL	TUBB3
PLK1	HSPA4
EIF4A3	SART1
SDHA	EIF4A1
THOP1	UAP1
FBXO46	DDX5
PRMT1	NOP53
RPS21	APP
FBXO46	DHX9
PPM1G	AHCYL1
THOP1	SORD
CCNH	MBP
FBXO22	SKP1
RASA1	APP
CIRBP	NUP88
NUDT5	CUL1
PDZK1	ABCC4
TLE3	COPG1
HSP90AA1	FBXW11
TUBB	XPO1
NCSTN	RAB31
YAP1	PRMT3
THAP3	APP
TLE3	COPZ1
PSAP	U2AF1
EEF2K	DDX3X
AKT1	PREX1
PUS1	NCBP1
ILF3	SNORD88C
PAN2	NSMCE2
SEPT11	STIM1
KYNU	NUP210
STK25	PSMA6
AP2B1	LNPEP
STK25	PSMA5
STK25	PSMB1
PRKAA1	TUFM
STK25	PSMA7
MSH2	SRSF10
PPP1CC	RRP1B
MMS19	HDAC6
ITGA4	CACYBP
PRKAA1	TUBB2A
FTO	SLC9A3R1
MRPL14	MRPL15
LGALS3	GTF2I
AREG	APP
MRPL14	MRPL22
PRPF8	RPL37A
IFIT3	SNRPD1
SF1	SORCS3
TNFSF12	TRAF2
STK25	PSMB6
STK25	PSMB5
NCSTN	SLC27A2
HSP90AA1	PDGFRB
FN1	PCBP1
STK25	PSMB2
XPO1	CSE1L
FN1	PCBP2
HSP90AA1	PGK1
HEXA	C9orf78
ITGA4	NUDC
RPL27	MRE11
HK2	PYGL
DR1	TTLL12
MRPL12	SUCLA2
MRPL12	SUCLG2
UGP2	TARS
HIST1H2BB	APP
RBMX	SAFB
HNRNPR	SMARCA5
RPSA	IL7R
NR1H2	PDCD4
ERH	CIZ1
RPA1	AARSD1
LPP	NPLOC4
HSP90AA1	CDK14
AASDHPPT	EHD1
SOX2	KPNA4
SOX2	TNPO1
SOX2	IPO5
PPP1CC	RPRD2
LOC100290337	TCERG1
HSP90AA1	MAST2
PRKAA1	CCT3
GLP1R	MRPL22
RBMX	RPS28
MCAT	TAP1
SYK	TRAF3
EEF1D	MCCC1
MAGOH	PPM1B
SF3B3	UBE3A
CMTM3	APP
RDX	ANP32E
HK1	CAPN2
SUMO2	ARID1B
PAXIP1	RBBP7
CYSTM1	UQCR10
UGDH	SNX1
GTF2H2	SRA1
CDK1	LMNB1
AHCY	SIRT1
OGDH	DLAT
NCAPH	ZZEF1
SF3B3	U2AF1
SMC4	TBC1D4
OGDH	DHODH
AIMP1	DARS
PPM1G	HSPH1
NRDC	TSN
SEC24C	SSRP1
CAMK1D	XPO1
RBMX	RRM2
NRDC	DNAJC7
PAXIP1	ZNF622
ATP6V1B2	HYOU1
PAXIP1	RFC2
PAXIP1	RFC4
POLH	BRCA1
RAC1	PSAT1
GNL3	RPL37A
ARAF	BAD
CIRBP	CNOT3
BIRC7	XIAP
EIF3G	EIF3L
PRPF8	RPS25
MRPL20	APP
HNRNPUL1	RBMX
CCT2	ACTA1
STN1	CTC1
GNL3	RPL19
GNL3	RPL18A
STK25	PPP2R2A
ECT2	CCDC47
PRPF8	ECD
C1D	NR1D1
PSMB7	C11orf58
BLOC1S2	APP
LSM1	NSD2
S100A10	SRPRB
PRPF8	RPS14
KCNQ1	AP2M1
GNL3	RPL4
GNL3	RPL5
ACSL3	ACSL4
GNL3	RPL6
GNL3	RPL7
GNL3	RPL15
ERBB2	AP2B1
GNL3	RPL11
SF3A1	SNRPD1
SF3A1	SNRPD2
HMG20B	POLR3H
BRCA1	SDK2
SF3A1	SNRPA
HSP90AB1	RPL14
LAGE3	PUM1
EEF2	FARSA
HNRNPU	U2AF1
PPP4R3B	NANS
FKBP3	RTRAF
VHL	AR
SYNCRIP	PHB
IGBP1	NEDD8
FDXACB1	RBMXL2
RASSF3	APP
GSS	MVK
EIF4A3	PRPF3
SUMO2	LRPAP1
DHX15	TMEM126B
KLHL15	KLHL15
HSP90AA1	PASK
WDR92	PPP3CB
HSP90AA1	LARP4B
STK25	PRKDC
RPA3	GRPEL1
ITGA4	LSM3
PRPF8	S100A9
GDI1	SCRN1
DNAJC4	APP
RPS3	SND1
PSRC1	PTMA
AICDA	XPO1
ITGA4	CHMP2A
MOV10	SENP3
RNF20	MYO1E
HIST3H3	MTA2
UBL4A	DIABLO
SNRPA	IL7R
NDFIP1	SMURF1
MPG	NCBP1
PLP2	MRPL41
HSP90AA1	STK38L
CDK4	BAG2
PPP1R7	HNRNPF
HDAC6	PSMD1
HDAC6	PSMC5
FMNL1	COPB1
FTO	NPEPPS
EEF1AKMT3	TUBB6
UBE2V2	ZPR1
CLU	TUFM
VAC14	PPIP5K1
VCL	YWHAH
DEF6	APP
HIST3H3	TAF1B
CTTNBP2NL	ANKRD28
GPX3	GPX3
PIN1	PPP2CA
GNL3	RPS6
COQ6	APP
GNL3	RPS5
GNL3	RPS4X
PPME1	RPRD1B
ATP6V1C1	TSN
RUVBL1	PABPC1
ITGA4	SYNCRIP
GNL3	RPS3
SNRPD1	PTGES3
VPS41	APP
NCSTN	GTF3C1
UPF3B	TOP2A
CCAR2	NCAPD2
RPS26	RPS2
RPS26	RPS3
SNRPC	SNRPA1
EPAS1	CNOT7
NHLRC2	DPP3
STK25	RAN
SNRPC	SNRPE
RPS26	RPS5
RPS26	RPS6
POLR1D	POLR3A
ITGA4	PPIH
DAXX	CDC20
OLA1	HSPA4
THOP1	TALDO1
PLIN3	SRP14
DSTN	DPP3
U2AF1	ZCCHC8
TUFM	RPL23
PHKG2	MCCC1
TUFM	PPT2
CSNK2A2	ACTBL2
SBDS	UBE4B
ITGA4	LYPLA1
ITGA4	RBM14
AHCYL1	TES
SQSTM1	HSPA4
GNL3	RPS24
SF3A1	SSBP1
TNFAIP3	TP53
SF3A1	SRP54
EIF6	HPRT1
DNMT3A	POLR2H
DDIT3	COPS3
SRSF9	GINS4
RCN2	HTT
HSPA5	STOML2
NUSAP1	UBE4B
PAWR	H3F3A
PDIA4	TATDN1
CSNK1E	LRRC59
TCF21	TCF4
ZRANB2	PARVA
CCAR2	NCAPG
GRHPR	SUCLA2
NBPF3	APP
SEPT11	TCOF1
ROCK2	RABGEF1
PSMA6	SF3A1
S100A16	MPST
PAK1	SKP1
DDX1	ABCF1
LAGE3	USP34
SLC25A3	SCFD1
HIST3H3	MTA1
PLK1	STAG2
PTAFR	JAK2
HP1BP3	KRT3
PSMA4	VCP
BAG3	CNTN4
PLRG1	SF3A1
DYNC1LI2	RACK1
TLN2	TWF2
LINGO2	APP
XPO5	EFTUD2
EIF3A	NCL
GNL3	RPS8
GNL3	RPS7
DNMT3A	POLR2A
DNMT3A	POLR2C
GNL3	RPS14
GNL3	RPS15A
SYNCRIP	PLP2
SIRT1	RAP1A
PRAME	HIST4H4
MYO1E	TBCB
ITGA4	DDX17
SOX2	ILK
SOX2	IMPDH2
GALNT12	APP
ARRDC1	APP
PPP3CA	RHOC
SOX2	FOXK2
UTP4	NOP53
STAM	UBQLN4
SORD	BCCIP
ITGA4	ANP32B
CDKN2A	RPP38
ITGA4	GLRX3
CBS	HSF1
EIF3C	MRPS35
VPS25	PPP3CB
BCCIP	SMS
IQCB1	IQCB1
METTL23	CCAR2
ATP6V1C1	VPS35
NCSTN	THRAP3
XPNPEP1	WARS
COL7A1	LRRC57
XPO1	DR1
NUP37	NUP160
SNRNP200	YBX1
DIDO1	H2AFY
TGIF1	APP
DHX15	IWS1
NUP85	DCTN3
IGBP1	ZFYVE19
CPT1A	LPP
RPA4	APP
RTCB	ILF2
PRPF8	SUPT16H
ITGA4	PRPF8
AURKA	BTRC
ATP5PD	ATP5PO
CLNS1A	NEDD8
DCK	PTMS
RNF11	AP2A1
RNF11	AP2B1
RPS7	U2AF1
FUBP1	MRPL38
FUBP1	MRPL41
HSPD1	SAP30BP
ARRB2	GCG
FUBP1	MRPL32
YWHAE	TUBA1A
CD28	DOK1
USP15	ZMYM2
NOTCH1	SMAD9
MRPL12	RNASET2
ITGA4	CCT2
ITGA4	CCT4
ITGA4	CCT7
RPL22	ARFGAP1
ISOC1	PLPBP
GNLY	APP
UBXN7	UFM1
THY1	ZFR
UBXN7	UFC1
RPS25	RPS26
RPS26	RPS27A
RPS26	RPS28
MPG	OBSCN
MS4A2	APP
ACTN1	SF3A3
RPS19	RPS26
RPS20	RPS26
RPS24	RPS26
RPS23	RPS26
IPO11	SH3GL2
RPS16	RPS26
PSMC1	UGGT1
NCSTN	SUPT16H
MSH2	SEC23A
STK25	PSMD4
STK25	PSMD11
ENO2	PNP
NOTCH1	MCM3
RPS14	RPS26
STK25	PSMD13
NOTCH1	MCM5
STK25	PSMD12
RPS12	RPS26
STK25	PSMD7
RPS10	RPS26
STK25	PSMD3
METTL14	SNF8
POLR3A	POLR3C
BCAR1	BMX
HP1BP3	LAMP2
MRPL23	TXN2
SRP9P1	SRP68
SEC24D	RSU1
AICDA	UBE2L3
PSMA6	PSME3
HIGD2A	APP
PSME2	TNN
IL26	APP
CDK4	RPL23
ELAC2	TSN
TAFA4	APP
BAG3	PDGFC
PAWR	FAM129B
PRKN	HSP90AA1
HGS	RANGRF
KARS	UBE2S
SUMO2	MEIS1
SYNCRIP	PPP1CA
TUBA4B	TUBB4B
AKAP2	RPP38
TUBB8	TUBB2A
DYNC1LI2	DYNC1I2
UFC1	USP9X
NCSTN	PSIP1
HSP90AA1	FASTK
SIAH2	UBE2D3
SPTAN1	SARS2
NUBP2	USP9X
GCH1	CAMKK1
HSP90AA1	MAGED2
NOP56	CAVIN1
CSNK2A2	SRP14
SEPT7	GTF3C1
PPP4R2	TRA2B
CSNK2A2	SRP9P1
DYNC1LI2	DYNC1H1
BAG3	ALG1
TYMS	UBQLN4
BRCA1	EIF5B
SLC4A1AP	WIPF2
FBL	FTSJ3
CLTC	RPSA
AICDA	RTCB
VCP	TPM3P4
SFXN2	TOMM70
E2F1	ERCC3
UBE2V2	USP9X
SRSF11	SRSF7
EEF2	XRCC6
PAXIP1	ZNF251
MYBBP1A	RSL1D1
RCN1	TOM1L2
SEPT9	TPM3
RNF126	SCAMP3
OGFOD1	TBCB
SRSF11	SRSF3
HNRNPDL	MRPS16
PPIC	TMED4
SAXO1	HOXA1
KANK2	NCOA2
SRSF9	SMIM20
RAB14	OPTN
RPA3	AARSD1
DCAF8	COPS4
RPL27	HNRNPM
DAXX	BUB1B
STK25	MCCC1
PFN1	LOC440434
OSBPL5	APP
PRMT3	IDE
RBM15	UBE3C
CEP192	ZBTB10
COL4A1	PDGFA
COL4A1	PDGFB
DHX16	APP
USP48	UCHL3
AKT1	IGSF8
SOX2	DNAJA1
USP34	UBXN7
FAM50B	HDAC2
PCLAF	ING1
CALR	KRT17
DKC1	PTGES3
SNX8	THUMPD2
STAT3	LYN
RAB1A	RAP1A
NUP85	GBF1
SNRPF	SFN
ERLEC1	TCIRG1
EPS8	ZZZ3
RFC3	RFC5
LAMP2	SF3B6
DSTN	PDLIM5
BRCA1	COL1A1
SNF8	RBP1
EIF2AK2	CDC37
POLR1D	CRCP
CDK9	LGALS3BP
PHLPP1	SNX6
STK4	CDK9
MMS19	CDIPT
STK25	SLC25A3
CARHSP1	HSPA1A
HSP90AA4P	RPL22
HIST3H3	JADE3
MAP1LC3C	CALCOCO2
NCS1	NAF1
RELA	PRMT5
RAB1A	PCYT2
MRPS18B	MRPS22
A2M	EVI5L
DUS3L	SNF8
EIF2AK2	HNRNPUL1
SOX2	HSPB1
PDCD10	EHD1
MRPL11	MRPL19
TBC1D15	IDE
MMS19	EIF3M
SRSF10	USP39
STK3	CAD
A2M	ENO2
RBM14	RFC1
NOXA1	NOX1
NAE1	XPO1
TMOD4	APP
SIVA1	CDKN2A
PEG10	HNRNPH1
PRPF40A	TRA2A
MALSU1	SSBP1
EEF1AKMT3	CTSB
TUT7	XPC
USP15	UGP2
SRSF1	SNRNP200
RHEB	RABAC1
UBL4A	MRPS22
IPO9	NAP1L1
TLR3	SYK
ATP5PD	NDUFA12
IGBP1	PLIN3
SNRPA	TNPO1
LIPT1	APP
MSMO1	IMMT
CCNB1	CDK7
KLC4	APP
RHOA	RPS27A
HEXA	XPNPEP1
MARS2	APP
ILVBL	RAB14
MAP2	PSMD8
CDKL3	APP
STK25	CCT5
LOC100290337	NXF1
ABCC2	JUP
MAP2	PSMD13
MAP2	PSMC5
ST13	JUP
NOP2	NOP58
MPV17	RALA
PHGDH	SRSF11
PSMC6	UFM1
RPS9	APP
ILF3	TXN2
ECE1	SSR4
PRPF8	SNRPD2
PRPF8	SNRPD3
PRPF8	SNRPE
BRCA1	CABYR
PRPF8	SNRPD1
SFXN1	TMEM14C
PRPF8	SNRNP70
FLNC	SF3A3
PRPF8	SNRPA1
RNF11	APP
HYOU1	KIF13A
BRCA1	TATDN2
PRKCD	PKM
AP1G1	NPM3
PSMD2	RPS12
AKAP2	BABAM1
GDI1	ACOT7
MAGOH	PRDX1
IGBP1	UBE4B
PSMD2	RPS21
PCLAF	HECTD1
VCL	FERMT2
MYL12A	NDUFB4
TUFM	NENF
ETHE1	APP
MCAT	MRPS16
EEF2K	EEF1G
ATP5PD	APP
EEF2K	EEF1B2
ANKMY2	HSF1
NLRP2	APP
EXOC5	EXOC7
ATP6V1G1	APP
KDM3A	HIST2H3C
EIF3A	MYH11
ATP6V1B2	HDLBP
UGP2	SET
EIF3A	MYH9
GTDC1	APP
SEPT2	GTF3C1
HK1	ASL
SRP9P1	PTGES3
BAG3	CFAP298
SRCIN1	SORBS3
PYM1	TSR1
RPS5	ATP6V1B2
BEND5	APP
MMS19	GLRX3
EIF3A	NAP1L4
PDZK1	APP
PFKFB1	APP
LAGE3	SEPHS2
CHRAC1	GOT1
NKX3-1	AEN
HSP90AB1	STIP1
HK1	APP
PAPSS2	APEX1
UBE4B	USP34
IVNS1ABP	LUC7L2
EIF2AK2	ATXN2L
IGSF8	XRCC5
SOX2	CCN1
SRSF10	UTP14A
HEXA	EZR
TUBA1A	TUBB6
DPP8	CD44
UBE2D3	WWP2
EHD1	ARIH2
PAPSS2	APP
SDHB	MRPL45
ILF3	CHCHD4
AURKB	AURKC
BTF3	RWDD4
COG4	RPS20
SIAH2	TP53BP2
YWHAQ	WDR20
EIF2AK2	RPL35
CSNK1E	ATAD3A
SEC24D	SHMT2
DDX17	RANBP2
MCAT	SHMT1
CBX6	CHAF1B
FLOT2	MMGT1
MYO1C	SEPT7
SRSF11	SNRPA
RHOA	RPL18
TWF2	PLPBP
RPL6	U2AF2
PTMA	YWHAH
PTMA	YWHAE
STK25	HSPA4L
CHUK	RIPK2
VPS29	NAA10
TMEM189-UBE2V1	ATP6V1B2
GSR	KYNU
NCDN	PPP1R2
NOTCH2	SEC24C
EEF2	NUP62
MRPL58	PPT2
RPL23A	QARS
CDH2	CAVIN3
PHKG2	SERBP1
HSPA4	PPM1G
SRP9P1	TOMM40
SSBP3	APP
CLIC4	HNRNPA1
PDCD6IP	PEF1
BLOC1S5	APP
WDR70	ZC3H18
AICDA	IER5
PPIL3	SEC24C
PAXIP1	LUC7L2
TCF3	SCX
CERK	APP
SRSF11	SON
EEF2	FLOT2
CYC1	RPUSD4
PAXIP1	CIAO2B
NSD2	RBM25
FBXO25	FKBP3
HDAC3	TOP2B
UBE2A	HDLBP
DCXR	APP
DDX3X	EIF3J
IPO11	SRP9P1
ITGA4	RAB10
DDX3X	SRSF9
KRT17	PA2G4
ATP6V1B1	MYO3B
ILF3	RCN2
ILF3	RCN1
DDIT3	BACH2
SLC25A4	UQCRFS1P1
SLC9A3R1	PCYOX1
CD81	RGPD6
PDCD4	BTF3
PAXIP1	CPSF3
SRSF9	UNC119B
BRCA1	CEP350
CBS	UBA5
ILF3	RAP1A
EGFR	VAC14
IGBP1	OTUD5
SLC9A3R1	PPME1
NAGK	BCCIP
LDHAL6B	CAPN1
MCAT	SPTAN1
CYSRT1	PRR3
RPL18A	FTSJ3
TGM2	YWHAQ
UBXN1	ATP6V1A
MYL12A	MYL6
HSPB1	PEX19
FTO	TKFC
ITGA4	HNRNPA0
PPP1R12A	TTLL12
UGP2	RO60
FAM162A	MRPL22
ITGA4	PRDX3
HNRNPA2B1	TIMM13
CUL3	TBCD
SNRPD1	BCAS2
VASP	PSMA5
HDAC6	PKM
ITGA4	TCERG1
RANBP3	HSPA4L
PRKACB	GFAP
KATNB1	MSH3
PPIB	SUGP1
MMS19	USPL1
TBCB	CKB
DPYSL3	CUL2
BRCA1	CDK9
LARP7	APP
MATR3	STOML2
DYNC1H1	YBX1
PAWR	IDE
EGFR	TTC27
C1orf35	APP
MRPL45	TMEM177
EXOSC9	AICDA
ATP6V1B2	ATP6V1E1
SRSF10	TCERG1
SDHA	CYB5R3
PSMC4	TUBA1B
SDHA	DHODH
RPS26	SLC25A1
PRMT3	HNRNPA1
MRPL14	RPS20
PUS1	NRDC
VCP	EIF4A2
GOPC	DR1
VCP	EIF5A
NAT2	APP
LDHB	GNAI3
DENR	NLRX1
RIOK2	LYZ
NENF	UQCRH
CPSF2	POLE3
IGBP1	PDCD6
RIOK2	CAPRIN1
CHMP4A	CHRAC1
CAPN1	EEF2
RPL10A	RPL23
ETS2	SRA1
PUM1	VPS26A
CDV3	TBL2
FLNC	ARFGEF2
RPLP2	RPS27L
DHX38	SNW1
SERPINH1	ZC3H11A
ADRB2	MTHFD1L
CRK	HSPB1
STK4	PHGDH
PRKAA1	CCT5
PAXIP1	UIMC1
ANAPC11	UBE2K
IGBP1	PPP4R3A
PAXIP1	DNAJB11
NAAA	APP
LAGE3	CNN2
VCP	DYNC1I2
GTF2A1	BOP1
AURKA	IKBKG
PSMA6	CCT8
MRPL32	MRPL55
PAXIP1	CDK12
RBPJ	CAMK4
VPS37B	WDR12
PAK4	APP
LSM4	SGTA
TTC4	UBE2S
SMARCA5	SMARCA5
ATP6V1B1	NCSTN
SF3A2	TPM3
DYNLRB2	APP
MAGOH	PFKFB3
ILF3	ALDH18A1
HSP90AA4P	RPL9
NR1H2	USP7
GTF3C4	API5
ITGA4	SEC61B
ITGA4	TOMM34
STK4	ADCY10
OXSR1	CLN6
RIC3	KLC1
ITGA4	STIP1
CBS	IPO4
BAZ1A	RBBP4
GINS4	ASL
HNRNPM	PRPF40A
BRCA1	CRYZL1
ACOT13	NDUFAF2
DSTN	DNPH1
HMGA2	PSIP1
ITGA4	GCN1
ITGA4	IMMT
RBM12	SDHAF2
PSMC1	PSMD11
PPP2R5C	APP
RIOK2	MARS
DHX29	POGLUT1
SERF1B	APP
STK25	PKM
NONO	MRPL41
DSTN	LAMTOR5
ACADVL	ATP5MG
ILF3	RALA
HBS1L	APP
CAMK1	TUBB
DDX28	MFF
ARRB1	NOTCH1
ILF3	RAB2A
HSP90AA1	TRIM74
BAG1	FUBP1
BAG1	ZPR1
PSMC6	PSMD11
PSMD11	PSMD2
PSMD11	PSMD3
SPTBN1	TGFBR1
PPME1	HSPBP1
VCP	DUSP9
LGALS2	TUBA1B
RPS6KA1	GSK3B
PDIA3	MTPN
MMS22L	UPF2
BARD1	TRA2A
ADGRB1	LIN7A
SRSF3	SFXN2
UBE2A	XRN2
CHUK	COPS3
PSEN1	FGF13
CCND3	APP
IGBP1	NUBP2
SDC1	APP
RPS6KA1	GRSF1
YY1	ZNF638
PIGT	PIGU
MPV17	RHOA
SRRT	PPP6R3
ING2	APP
PAXIP1	PHAX
VCP	DSP
TCEA1	MCM3
CBS	GPSM1
TCEA1	MCM5
RAB8A	RRBP1
TCEA1	MCM2
IGBP1	RBM12
SRPRB	TAGLN
SNRPD1	TRIM28
ATP6V1B1	DNAJC13
PSIP1	FTSJ3
IGBP1	PDIA6
SNRPD1	IL7R
FKBP9	API5
PLP2	SLC12A4
RUVBL1	SMARCA1
CFLAR	HSP90AA1
CYB561D2	APP
HDAC6	PCNA
CSNK2A2	RPS11
CSNK2A2	RPS8
CSNK2A2	RPS9
RUFY1	CCT8
FN1	ACP1
NAPRT	NOL3
FN1	ACTB
CSNK2A2	RPS13
CSNK2A2	RPS15
CSNK2A2	RPS14
HSP90AB2P	HSP90AA1
FDPS	IDH1
UTP20	ZBTB7A
CSNK2A2	RPS18
SNX2	HIRIP3
FN1	ACTG1
OXSR1	HSP90AB1
CSNK2A2	RPS17
CSNK2A2	RPS16
OXSR1	HSP90AA1
NME3	APP
IDH3G	RAB8A
PAXIP1	SPATA18
MAPK9	STK25
HSP90AA1	TXNDC5
DYNLRB1	LAMTOR2
USP7	MAGED2
LAMTOR3	PUF60
THTPA	TRMT1L
BYSL	EMG1
SFPQ	VTN
MDC1	HNRNPUL2
RIF1	SUCLG1
CDK9	C1QBP
PRMT1	PIAS1
PSMA2	PSMA8
ILK	PTGES3
ANAPC5	TRIM33
SEC23A	SP100
HSPA5	MYH9
PUF60	H3F3A
HSPA5	MYH10
ILK	CERS1
YWHAE	TIAM1
DCTN6	APP
MAGEC2	NSMCE4A
STK3	APOD
PTGR1	ATP6V1A
ILK	YME1L1
PRMT6	AK8
HSP90AA1	FBXO38
UBD	PABPC4
CLNS1A	UFC1
ZFP36L1	YWHAB
RBM8A	RUVBL2
TPM4	ZYX
ATP6V1B1	TM9SF1
UBE4B	ZRANB2
SF3B4	STOM
IGBP1	MYL12A
HSPA5	NCK1
TOE1	IL7R
FTL	HSP90AB3P
OLA1	MAPRE1
EPRS	MARS
BAG3	CMTM1
YWHAH	UBFD1
RPL18	RPS10P5
PAXIP1	SPOUT1
MMS19	ABCF1
OSGEP	TPD52L2
PRDX2	UBE2H
UBD	CLUH
FBXW7	MED20
TAF9B	TAF9B
UBL7	ZPR1
YWHAE	TMPO
HIST4H4	RO60
ATP4A	ACSL1
PIK3CA	SMAD2
PAXIP1	LIMA1
PIK3CA	SMAD3
XPOT	APEX1
PSME1	CSE1L
CD81	HIST2H2BF
DES	JUP
EPAS1	NDN
FBXW7	MED21
SRBD1	TAOK1
CSNK2A2	RPS6
CSNK2A2	RPS4X
MDH1	PRDX5
FBXW7	MED23
TUBB4B	RAB1A
PCMT1	PPIH
FN1	CCAR2
